City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
148,Mehamn,20,NO,1579549848,97,71.04,27.85,37.4,27.51
149,Gravdal,40,NO,1579549991,86,68.12,13.5,39.2,5.82
150,Kalmunai,50,LK,1579549789,78,7.42,81.82,81.07,16.51
151,Kidal,0,ML,1579549991,19,18.44,1.41,67.15,9.17
152,Emerald,20,AU,1579549991,94,-23.53,148.17,75.2,5.82
153,Burnie,36,AU,1579549843,90,-41.07,145.92,59,8.99
154,Barranquilla,62,CO,1579549992,62,10.96,-74.8,87.8,11.41
155,Mount Isa,90,AU,1579549783,37,-20.73,139.5,84.2,5.82
156,Rio Grande,8,BR,1579549952,43,-32.03,-52.1,91.4,8.05
157,Nanortalik,100,GL,1579549992,77,60.14,-45.24,26.47,19.55
158,Sao Filipe,0,CV,1579549992,75,14.9,-24.5,71.2,7.87
159,Port Elizabeth,100,ZA,1579549992,77,-33.92,25.57,68,17.22
160,Russell,1,US,1579549805,41,32.35,-85.2,45,8.05
161,Iquitos,75,PE,1579549992,100,-3.75,-73.25,42.8,5.82
162,Te Anau,100,NZ,1579549668,92,-45.42,167.72,58.59,1.59
163,Sitka,75,US,1579549646,70,57.05,-135.33,42.8,12.75
164,De Aar,0,ZA,1579549992,16,-30.65,24.01,76.57,8.14
165,Chui,42,UY,1579549784,61,-33.7,-53.46,83.73,10.78
166,Aklavik,40,CA,1579549802,75,68.22,-135.01,-18.4,9.17
167,Fortuna,1,US,1579549824,58,40.6,-124.16,57,7.9
168,Kaitangata,100,NZ,1579549993,92,-46.28,169.85,55.27,9.44
169,Qaanaaq,100,GL,1579549993,77,77.48,-69.36,-12.32,7.74
170,Barao de Melgaco,40,BR,1579549993,46,-16.19,-55.97,93.2,11.41
171,Saldanha,0,ZA,1579549774,50,-33.01,17.94,77,8.05
172,Yerbogachen,93,RU,1579549993,93,61.28,108.01,-11.47,9.48
173,Willowmore,64,ZA,1579549993,84,-33.29,23.49,58.71,8.68
174,Huilong,0,CN,1579549993,77,31.81,121.66,46.99,5.35
175,Klaksvik,100,FO,1579549993,70,62.23,-6.59,42.8,23.04
